HiLo floors
Double Punch;22.10.2019;09:23;29.11.2019;09:56;38;00:33;
94;1;20
2913;3;7.0;1.4
1;150.000;150.000;7716;2911;106.9;6.1;0.66
Index;Element;Markierung;Zeit;Kraft;Weg
;;;s;kN;mm
180;100;100;338.6100;123.50;1.000
181;100;100;340.8100;124.27;1.011
182;100;100;340.9100;124.34;1.013
183;100;100;343.7100;125.28;1.025
184;100;100;346.5100;126.28;1.039
185;100;100;347.1100;126.46;1.043
186;100;100;349.4100;127.29;1.058
187;100;100;352.3100;128.30;1.077
188;100;100;353.3100;128.66;1.084
189;100;100;355.2100;129.32;1.101
190;100;100;358.1100;130.37;1.117
191;100;100;359.5100;130.81;1.122
192;100;100;361.0100;131.38;1.129
193;100;100;364.0100;132.42;1.146
194;100;100;365.7100;133.02;1.158
195;100;100;367.0100;133.47;1.165
196;100;100;370.0100;134.50;1.183
197;100;100;371.9100;135.14;1.197
198;100;100;372.9100;135.51;1.200
199;100;100;373.2100;135.62;1.201
200;100;100;375.7100;136.52;1.216
201;100;100;378.2100;137.40;1.229
202;100;100;378.7100;137.54;1.232
203;100;100;381.6100;138.56;1.249
204;100;100;384.4100;139.54;1.265
205;100;100;384.5100;139.56;1.268
206;100;100;387.3100;140.58;1.288
207;100;100;389.6100;141.34;1.303
208;100;100;390.3100;141.61;1.305
209;100;100;390.8100;141.74;1.307
210;100;100;392.6100;131.02;1.327
211;100;100;392.7100;84.87;1.281
212;100;100;392.8100;54.73;1.186
213;100;100;392.9100;34.29;1.102
214;100;100;393.0100;20.89;1.034
215;100;100;393.1100;12.22;0.965
216;100;510;393.1100;12.22;0.965
217;100;100;393.2100;6.32;0.919
218;100;100;393.3100;2.50;0.878
219;100;100;393.4100;-0.03;0.855
220;100;100;393.5100;-1.56;0.817

